SMILES,密度,热值(MJ/Kg),熔点℃
CCC(C)C,0.62,46.68 ,-159.9
CCCCCC,0.6606,46.41 ,-95.27
CCCCCCC,0.6795,46.26 ,-90.549
CCCCCCCC,0.6986,46.16 ,-56.73
CCCCCCCCC,0.7192,46.07 ,-53.47
CCCCCCCCCC,0.7266,46.00 ,-29.61
CCCCCCCCCCC,0.7402,45.95 ,-25.54
CCCCCCCCCCCC,0.7495,45.90 ,-9.55
CCCCCCCCCCCCC,0.7564,45.86 ,-5.35
CCCCCCCCCCCCCC,0.7596,45.83 ,5.87
C1CCCC1,0.7457,44.91 ,-93.4
CC1CCCC1,0.7486,44.98 ,-142.42
CCC1CCCC1,0.7665,44.97 ,-138.42
CCCC1CCCC1,0.7763,45.07 ,-117.3
CC(C)C1CCCC1,0.7765,45.07 ,-111.4
C=CCC1CCCC1,0.793,44.00 ,-110.7
CC1(C)CCCC1,0.7499,45.04 ,-69.8
CC1C(C)CCC1,0.768,45.04 ,-54
CC1CC(C)CC1,0.7402,45.04 ,-133.7
CC1(CC)CCCC1,0.7767,45.07 ,-143.8
CC1CCCC1CC,0.7852,45.07 ,-106
CC1(C)C(C)CCC1,0.766,45.07 ,-21.6
CC1(C)CC(C)(C)CC1,0.7469,45.10 ,-88.4
CCCCC1CCCC1,0.7846,45.11 ,-108
CC(C)CC1CCCC1,0.7769,45.11 ,-115.2
C1CCCCC1,0.7739,44.92 ,6.7
CC1CCCCC1,0.7694,44.97 ,-126.6
CCC1CCCCC1,0.788,45.01 ,-111.28
CC1CC(C)CCC1,0.766,45.01 ,-75.51
CCCC1CCCCC1,0.7936,45.04 ,-94.86
CC1C(C)CC(C)CC1,0.79,45.10 ,-86.3
CCCCC1CCCCC1,0.7902,45.07 ,-74.68
CC1C(CCC)CCCC1,0.777,45.13 ,-84.33
CC1=CCCCC1,0.811,43.79 ,-119.4
C1=CC=CC=C1,0.8765,40.30 ,5.5
CC1=CC=CC=C1,0.8623,41.06 ,-95
CC1=CC=CC=C1C,0.8755,41.62 ,-25.16
CC1=CC=CC(C)=C1,0.868,41.62 ,-47.85
CC1=CC=C(CC)C=C1,0.8614,42.10 ,-62.35
CCCC1=CC=CC=C1,0.8593,42.05 ,-99.5
CC(C)C1=CC=CC=C1,0.864,42.11 ,-96.02
CCCCC1=CC=CC=C1,0.8601,42.45 ,-87.85
CC(C)CC1=CC=CC=C1,0.8621,42.45 ,-82.7
CC1=C(C)C=C(C)C=C1,0.8758,42.04 ,-43.8
CC1=C(C)C=C(CC)C=C1,0.8706,42.44 ,-66.9
CC(C)(C)C1=CC=CC=C1C,0.8897,42.72 ,-50.3
CC(C)(C)C1=CC=CC(C)=C1,0.8657,42.72 ,-41.4
C1(C2=CC=CC=C2)=CC=CC=C1,1.04,48.1,68.93
CC1=CC=CC=C1C2=CC=CC=C2,1.0113,40.18796529,-0.2
CCCCCC(C=C1)=CC=C1C2=CC=CC=C2,0.943,41.47935409,10
C1(CC2=CC=CC=C2)=CC=CC=C1,1.001,40.18915552,25.4
C1(CC2=CC=C(C3=CC=CC=C3)C=C2)=CC=CC=C1,1.171,39.83912824,85
C12=CC=CC=C1C(C3=CC=CC4=CC=CC=C43)=CC=C2,1.3,39.12111314,160
C12=CC=CC=C1C=CC=C2,1.0253,39.50734179,81
CC1=C(C=CC=C2)C2=CC=C1,1.0202,40.08230257,-30.43
CC1=C(C=CC=C2)C2=CC=C1C,1.001,40.55411368,0.8
CC1=C(C=CC=C2C)C2=CC=C1,1,40.55354345,82
CCC1=CC=C2C(C=CC=C2)=C1,0.9922,40.55451206,-7.4
[H][C@@]12CCCC[C@]1([H])CCCC2,0.8965,44.25967916,-42.9
[H][C@@]12CCCC[C@@]1([H])CCCC2,0.8659,44.25838402,-30.4
C12=C(CCCC2)C=CC=C1,0.9645,41.49273673,-35.7
CC1CCCC2=C1C=CC=C2,0.9583,41.86519174,-28.56
CC1CC2=C(C=CC=C2)CC1,0.9536,41.86426645,-26.57
CC1=CC=CC2=C1CCCC2,0.972,41.86433527,-23
CCC1=CC=CC2=C1CCCC2,0.9533,42.16955371,-36.56
C12=CC=CC=C1C=C3C=CC=CC3=C2,1.28,39.13467092,215.76
CC1=C2C=C3C=CC=CC3=CC2=CC=C1,1.0471,39.58674958,85.5
CC1=CC=C2C=C3C=CC=CC3=CC2=C1,1.8,39.587,209
CC1=C2C=CC=CC2=CC3=CC=CC=C13,1.065,39.58769236,81.5
CC1=C2C=CC=CC2=C(C)C3=CC=CC=C13,1.084,39.98168537,183.6
C1(CCCC2)=C2C=C(CCCC3)C3=C1,0.9703,41.9697064,78
C12=CC=CC=C1CC3C(CCCC3)C2,0.9836,42.19532776,76
C12CCCCC1CC3C(CCCC3)C2,0.9389,43.94012929,79.5
CC1C2CCCCC2CC3C1CCCC3,0.9439,44.03822498,89.6
CCC1C2CCCCC2CC3C1CCCC3,0.9417,44.1219,91.2
C12=CC=CC=C1CC3=C(C=CC=C3)C2,1.215,39.86654224,111
CC1C2C(CCCC2)C(C)C3CCCCC31,0.9489,44.122,93.2
C12=CC=CC=C1C=CC3=CC=CC=C23,0.98,39.13213348,99.24
CC1=C2C=CC3=CC=CC=C3C2=CC=C1,1.105,39.58488301,123
CCC1=CC=C2C3=CC=CC=C3C=CC2=C1,1.082,39.97654609,124.6
CC1=CC=C2C=CC3=CC=C(C)C=C3C2=C1,1.1,39.97550003,141
CC1=C2C=CC3=CC=C(C)C=C3C2=CC=C1C,1.1,40.3173124,145.3
C12=CC=CC=C1CCC3=C2C=CC=C3,1.0757,39.86654224,34.5
C1(CCCC2)=C2C=CC3=C1CCCC3,1.026,41.96996911,16.7
C12CCCCC1C3C(CCCC3)CC2,0.944,43.94,-3
C12=C(CCCC2)C=CC3=C1C=CC=C3,1.0601,40.58379597,33.5
C12=CC=C3C=CC=C4C=CC(C2=C34)=CC=C1,1.271,38.68202378,150.62
CC1=C2C=CC=C(C2=C34)C=CC4=CC=CC3=C1,1.2,39.11525762,147.87
CC1=CC2=CC=C3C=CC=C4C=CC(C2=C34)=C1,1.213,39.11521609,143
CC1=C(C2=C34)C=CC4=CC=CC3=CC=C2C=C1,1.2,39.115216,71.3
C1(CC2=C3C=CC=C2)=C3C=CC=C1,1.203,39.40392513,114.77
CC1=CC(CC2=C3C=CC=C2)=C3C=C1,1.1,39.86550388,134.34
CC1C2=C(C3=C1C=CC=C3)C=CC=C2,1.0263,39.8655,46.5
CCC1C2=C(C3=C1C=CC=C3)C=CC=C2,1.047,40.26197617,56.48
CC1(C)C2=C(C3=C1C=CC=C3)C=CC=C2,1.1,40.2608094,96
C12=C(CCC2)C=CC=C1,0.9639,41.10428661,-51.38
CC1(C)CCC2=C1C=CC=C2,0.919,41.8653279,-34.24
CC1CC(C)C2=C1C=CC=C2,0.922,41.86564403,-38.45
CC1=CC2=C(C(C)CC2)C=C1,0.9351,41.86524363,-35.12
